Spine,shaft_name,shaft_x,max_soma_v,max_shaft_v,max_spine_v,soma_v_integ,shaft_v_integ,spine_v_integ,ir_shaft,z_shaft,dist_shaft
0,cell1303_03_model_cm_0_43[0].dend[11],0.611,-85.7324,-71.5764,0,269.057,3163.31,0,464.036,274.634,198.109
1,cell1303_03_model_cm_0_43[0].dend[11],0.722,-85.7448,-70.5337,-68.1372,257.334,3356.36,3740.79,512.763,310.936,216.915
0,cell1303_03_model_cm_0_43[0].dend[11],0.722,-85.7378,-69.9578,0,264.005,3443.28,0,512.763,310.936,216.915
1,cell1303_03_model_cm_0_43[0].dend[11],0.833,-85.7499,-68.9601,-66.5525,252.501,3621.93,4000.09,562.437,349.483,235.721
0,cell1303_03_model_cm_0_43[0].dend[11],0.833,-85.7431,-68.3302,0,258.88,3713.34,0,562.437,349.483,235.721
1,cell1303_03_model_cm_0_43[0].dend[11],0.944,-85.755,-67.3877,-64.929,247.534,3877.16,4248.35,613.3,390.471,254.526
0,cell1303_03_model_cm_0_43[0].dend[11],0.944,-85.7486,-66.7082,0,253.602,3972.08,0,613.3,390.471,254.526
1,cell1303_03_model_cm_0_43[0].dend[11],1.000,-85.7577,-66.6056,-64.1018,244.944,4000.43,4367.74,639.452,412.109,263.929
0,cell1303_03_model_cm_0_43[0].dend[11],1.000,-85.7515,-65.9042,0,250.846,4096.71,0,639.452,412.109,263.929
1,cell1303_03_model_cm_0_43[0].dend[12],0.500,-85.5707,-84.8457,-80.7338,334.014,427.058,865.773,57.8967,17.0149,20.276
0,cell1303_03_model_cm_0_43[0].dend[12],0.500,-85.5539,-84.7905,0,344.38,440.309,0,57.8967,17.0149,20.276
1,cell1303_03_model_cm_0_43[0].dend[12],1.000,-85.5795,-84.3348,-80.2611,331.439,488.781,925.763,66.405,24.8214,24.0403
0,cell1303_03_model_cm_0_43[0].dend[12],1.000,-85.5633,-84.2548,0,341.665,503.857,0,66.405,24.8214,24.0403
1,cell1303_03_model_cm_0_43[0].dend[13],0.500,-85.584,-83.4166,-79.3891,328.703,590.183,1024.15,80.5611,38.6699,30.064
0,cell1303_03_model_cm_0_43[0].dend[13],0.500,-85.5681,-83.2918,0,338.738,608.196,0,80.5611,38.6699,30.064
1,cell1303_03_model_cm_0_43[0].dend[13],1.000,-85.5881,-82.5129,-78.5396,326.07,690.128,1121.16,94.7004,52.6145,36.0877
0,cell1303_03_model_cm_0_43[0].dend[13],1.000,-85.5726,-82.345,0,335.924,710.975,0,94.7004,52.6145,36.0877
1,cell1303_03_model_cm_0_43[0].dend[14],0.500,-85.5965,-80.5113,-76.6268,320.72,910.737,1335.21,126.626,84.252,49.5947
0,cell1303_03_model_cm_0_43[0].dend[14],0.500,-85.5817,-80.2509,0,330.187,937.608,0,126.626,84.252,49.5947
1,cell1303_03_model_cm_0_43[0].dend[14],1.000,-85.6041,-78.5708,-74.7565,315.816,1126.25,1544.24,158.811,116.221,63.1016
0,cell1303_03_model_cm_0_43[0].dend[14],1.000,-85.5899,-78.2247,0,324.923,1158.71,0,158.811,116.221,63.1016
1,cell1303_03_model_cm_0_43[0].dend[15],0.500,-85.5995,-79.8595,-76.0237,318.823,985.173,1407.55,137.585,95.1064,54.2921
0,cell1303_03_model_cm_0_43[0].dend[15],0.500,-85.5849,-79.5694,0,328.164,1014.02,0,137.585,95.1064,54.2921
1,cell1303_03_model_cm_0_43[0].dend[15],1.000,-85.6095,-77.3151,-73.5695,312.342,1271.28,1685.08,180.962,138.178,72.4964
0,cell1303_03_model_cm_0_43[0].dend[15],1.000,-85.5958,-76.9168,0,321.212,1307.36,0,180.962,138.178,72.4964
1,cell1303_03_model_cm_0_43[0].dend[16],0.500,-85.6042,-82.7577,-78.8036,324.006,694.84,1126.32,95.2438,50.1384,36.8095
0,cell1303_03_model_cm_0_43[0].dend[16],0.500,-85.5896,-82.6041,0,333.818,715.873,0,95.2438,50.1384,36.8095
1,cell1303_03_model_cm_0_43[0].dend[16],1.000,-85.6242,-81.4251,-77.6044,317.498,894.334,1320.98,123.73,73.1693,49.5787
0,cell1303_03_model_cm_0_43[0].dend[16],1.000,-85.6109,-81.2127,0,326.959,920.969,0,123.73,73.1693,49.5787
1,cell1303_03_model_cm_0_43[0].dend[17],0.167,-85.6302,-79.9027,-76.1489,313.255,1070.94,1492.5,149.779,98.44,57.4625
0,cell1303_03_model_cm_0_43[0].dend[17],0.167,-85.6173,-79.622,0,322.421,1102.26,0,149.779,98.44,57.4625
1,cell1303_03_model_cm_0_43[0].dend[17],0.500,-85.6412,-76.968,-73.3417,305.366,1412.61,1824.35,201.988,149.544,73.2303
0,cell1303_03_model_cm_0_43[0].dend[17],0.500,-85.6292,-76.5597,0,313.984,1452.45,0,201.988,149.544,73.2303
1,cell1303_03_model_cm_0_43[0].dend[17],0.833,-85.6513,-74.1882,-70.672,298.058,1739.94,2142.22,254.429,201.19,88.998
0,cell1303_03_model_cm_0_43[0].dend[17],0.833,-85.6401,-73.669,0,306.173,1787.28,0,254.429,201.19,88.998
1,cell1303_03_model_cm_0_43[0].dend[17],1.000,-85.6561,-72.8541,-69.3806,294.582,1898.91,2296.51,280.865,227.292,96.8819
0,cell1303_03_model_cm_0_43[0].dend[17],1.000,-85.6453,-72.2859,0,302.46,1949.66,0,280.865,227.292,96.8819
1,cell1303_03_model_cm_0_43[0].dend[18],0.045,-85.6424,-80.1106,-76.3849,311.138,1112.79,1534.4,155.581,96.9678,59.7599
0,cell1303_03_model_cm_0_43[0].dend[18],0.045,-85.6303,-79.8425,0,320.253,1145.37,0,155.581,96.9678,59.7599
1,cell1303_03_model_cm_0_43[0].dend[18],0.136,-85.67,-78.0444,-74.5155,300.261,1531.99,1945.13,218.253,138.279,80.1223
0,cell1303_03_model_cm_0_43[0].dend[18],0.136,-85.6595,-77.6955,0,308.814,1575.61,0,218.253,138.279,80.1223
1,cell1303_03_model_cm_0_43[0].dend[18],0.227,-85.6889,-76.4964,-73.1907,291.238,1932.87,2339.19,279.749,173.468,100.485
0,cell1303_03_model_cm_0_43[0].dend[18],0.227,-85.6794,-76.0973,0,299.356,1986.7,0,279.749,173.468,100.485
1,cell1303_03_model_cm_0_43[0].dend[18],0.318,-85.7022,-75.2067,-72.1684,283.584,2320.39,2720.98,340.457,205.294,120.847
0,cell1303_03_model_cm_0_43[0].dend[18],0.318,-85.6934,-74.7757,0,291.35,2383.87,0,340.457,205.294,120.847
1,cell1303_03_model_cm_0_43[0].dend[18],0.409,-85.7121,-73.9482,-71.2262,276.917,2697.56,3093.06,400.761,236.163,141.21
0,cell1303_03_model_cm_0_43[0].dend[18],0.409,-85.7037,-73.4912,0,284.384,2770.24,0,400.761,236.163,141.21
1,cell1303_03_model_cm_0_43[0].dend[18],0.500,-85.72,-72.5858,-70.165,270.925,3065.86,3456.48,461.039,267.974,161.572
0,cell1303_03_model_cm_0_43[0].dend[18],0.500,-85.712,-72.0961,0,278.122,3147.22,0,461.039,267.974,161.572
1,cell1303_03_model_cm_0_43[0].dend[18],0.591,-85.7268,-71.0975,-68.8899,265.343,3425.37,3810.99,521.673,302.054,181.934
0,cell1303_03_model_cm_0_43[0].dend[18],0.591,-85.719,-70.5642,0,272.278,3514.79,0,521.673,302.054,181.934
1,cell1303_03_model_cm_0_43[0].dend[18],0.682,-85.733,-69.5134,-67.4204,259.935,3774.94,4155.12,583.046,339.216,202.297
0,cell1303_03_model_cm_0_43[0].dend[18],0.682,-85.7255,-68.9297,0,266.598,3871.59,0,583.046,339.216,202.297
1,cell1303_03_model_cm_0_43[0].dend[18],0.773,-85.739,-67.8728,-65.8131,254.493,4112.36,4486.38,645.543,379.909,222.659
0,cell1303_03_model_cm_0_43[0].dend[18],0.773,-85.7318,-67.2362,0,260.86,4215.12,0,645.543,379.909,222.659
1,cell1303_03_model_cm_0_43[0].dend[18],0.864,-85.7452,-66.2079,-64.1164,248.852,4434.73,4801.64,709.56,424.42,243.022
0,cell1303_03_model_cm_0_43[0].dend[18],0.864,-85.7384,-65.5188,0,254.89,4542.2,0,709.56,424.42,243.022
1,cell1303_03_model_cm_0_43[0].dend[18],0.955,-85.7516,-64.5319,-62.3554,242.912,4739.31,5098.05,775.5,473.092,263.384
0,cell1303_03_model_cm_0_43[0].dend[18],0.955,-85.7453,-63.7956,0,248.588,4849.92,0,775.5,473.092,263.384
1,cell1303_03_model_cm_0_43[0].dend[18],1.000,-85.7551,-63.6959,-61.4518,239.744,4883.7,5237.77,809.64,499.373,273.565
0,cell1303_03_model_cm_0_43[0].dend[18],1.000,-85.7489,-62.9377,0,245.225,4995.2,0,809.64,499.373,273.565
1,cell1303_03_model_cm_0_43[0].dend[19],0.500,-85.5777,-85.1763,-81.0431,333.807,388.112,827.964,52.5575,11.96,14.2564
