,model,number_of_synapses,NMDA_W,tau_1_NMDA,tau_2_NMDA,N_NMDA,GAMMA_NMDA,AMPA_W,DELAY,rmsd_epsp,AMPA_W_B,DELAY_B,rmsd_block,syns_secs,syns_segs
78,37640,21,0.00199776,7.78378,35.1769,0.280112,0.0815968,0.000695448,0.928197,0.00420188,0.000128713,2.22894,0.000213577,"[73, 74, 55, 75, 64, 75, 75, 64, 65, 64, 65, 65, 75, 68, 64, 69, 74, 69, 63, 65, 65]","[0.320383, 0.642063, 0.23798, 0.373947, 0.671988, 0.941787, 0.89179, 0.365175, 0.443377, 0.0115231, 0.819713, 0.899324, 0.258344, 0.15112, 0.710103, 0.544841, 0.132538, 0.287437, 0.944533, 0.178061, 0.889007]"
79,46492,27,0.000980684,7.32752,35.3898,0.280112,0.0758982,0.000524165,1.12653,0.00420575,9.79079e-05,2.35153,0.000210789,"[68, 75, 68, 75, 66, 65, 64, 75, 70, 56, 65, 56, 75, 66, 64, 74, 69, 69, 68, 69, 69, 64, 74, 69, 69, 61, 75]","[0.290436, 0.728331, 0.766124, 0.751196, 0.380668, 0.752146, 0.498916, 0.224742, 0.372642, 0.125821, 0.565665, 0.451269, 0.712656, 0.837415, 0.383245, 0.309934, 0.339054, 0.698972, 0.0863447, 0.808857, 0.611722, 0.700134, 0.563773, 0.471951, 0.772989, 0.391543, 0.95956]"
80,28107,28,0.00110909,6.91382,35.8997,0.280112,0.0776301,0.000495221,1.0069,0.00420701,9.3543e-05,2.25101,0.000214222,"[74, 68, 75, 64, 69, 73, 65, 66, 67, 71, 64, 68, 68, 75, 68, 69, 69, 69, 57, 66, 65, 67, 75, 74, 69, 75, 70, 75]","[0.83026, 0.0985482, 0.347057, 0.2368, 0.562968, 0.340627, 0.0194865, 0.189264, 0.0224566, 0.130893, 0.286614, 0.929726, 0.963007, 0.223832, 0.236028, 0.599006, 0.50631, 0.920372, 0.333624, 0.959733, 0.980749, 0.961574, 0.748558, 0.95958, 0.382075, 0.659391, 0.638626, 0.703821]"
81,24147,28,0.00120957,7.49782,35.4767,0.280112,0.0788834,0.00050127,1.0468,0.00420748,9.53452e-05,2.25431,0.000216223,"[2, 74, 75, 67, 68, 72, 75, 69, 74, 68, 65, 57, 67, 61, 67, 63, 67, 65, 72, 65, 67, 64, 68, 68, 68, 67, 74, 64]","[0.0152994, 0.667785, 0.462534, 0.786169, 0.866231, 0.774917, 0.586844, 0.222258, 0.501335, 0.542908, 0.13668, 0.55625, 0.858501, 0.539019, 0.991521, 0.400164, 0.29795, 0.921459, 0.792033, 0.878681, 0.410134, 0.371141, 0.6229, 0.559142, 0.53615, 0.970685, 0.23041, 0.274601]"
82,2662,29,0.000940218,8.40324,34.502,0.280112,0.0766554,0.000489062,0.995816,0.00416644,9.36615e-05,2.465,0.000257383,"[63, 65, 66, 75, 65, 72, 64, 69, 57, 69, 75, 75, 56, 74, 75, 68, 75, 73, 67, 65, 64, 69, 74, 65, 74, 75, 68, 69, 64]","[0.130047, 0.100793, 0.637452, 0.847668, 0.402272, 0.520684, 0.251906, 0.616068, 0.486768, 0.437804, 0.653976, 0.491311, 0.402324, 0.58251, 0.538042, 0.366661, 0.173608, 0.0411434, 0.68563, 0.195272, 0.545969, 0.279134, 0.691296, 0.199571, 0.263892, 0.731033, 0.717127, 0.717698, 0.987688]"
83,29861,19,0.00193464,6.93267,35.8993,0.280112,0.0796127,0.000732328,1.03148,0.00421116,0.000137482,2.25001,0.000213465,"[74, 57, 69, 69, 64, 67, 68, 62, 75, 72, 67, 67, 68, 75, 64, 66, 74, 73, 67]","[0.0584592, 0.987952, 0.847859, 0.630651, 0.0553161, 0.640469, 0.794856, 0.142198, 0.881602, 0.697393, 0.616726, 0.043462, 0.335466, 0.54982, 0.25503, 0.997692, 0.412435, 0.351582, 0.392593]"
84,48469,25,0.00104158,6.4947,36.3059,0.280112,0.0753651,0.000557806,0.968057,0.00420045,0.000103733,2.17432,0.000224684,"[68, 64, 73, 69, 65, 65, 75, 73, 70, 71, 68, 75, 74, 64, 64, 68, 67, 75, 74, 69, 74, 68, 67, 69, 68]","[0.570311, 0.108523, 0.910126, 0.220043, 0.578578, 0.313644, 0.978826, 0.0729609, 0.474929, 0.073095, 0.67009, 0.380392, 0.0111575, 0.53448, 0.190721, 0.649961, 0.289868, 0.406536, 0.908189, 0.931699, 0.433058, 0.304419, 0.0864923, 0.338796, 0.952752]"
85,15414,21,0.000860036,0.0841078,33.8151,0.280112,0.0640875,0.000572266,1.06187,0.003912,8.59998e-05,2.14929,0.000514459,"[67, 69, 68, 55, 65, 65, 74, 68, 74, 74, 69, 73, 68, 70, 75, 69, 75, 57, 67, 64, 69]","[0.0264536, 0.85046, 0.326483, 0.365258, 0.198131, 0.0199141, 0.592551, 0.26363, 0.947148, 0.311451, 0.41388, 0.876283, 0.287378, 0.228068, 0.616295, 0.239866, 0.657447, 0.243779, 0.858674, 0.298979, 0.365125]"
86,10299,15,0.00176609,6.97998,35.9059,0.280112,0.0758066,0.000978786,1.00204,0.00422077,0.000176565,2.25081,0.000206856,"[75, 68, 68, 68, 73, 65, 56, 68, 72, 69, 64, 75, 66, 65, 63]","[0.0778252, 0.47276, 0.990797, 0.616521, 0.740776, 0.310558, 0.479467, 0.797868, 0.881703, 0.81113, 0.74991, 0.350136, 0.807639, 0.790581, 0.4623]"
87,25886,28,0.00124894,7.41663,35.48,0.280112,0.079184,0.000497882,0.985665,0.00421103,9.50152e-05,2.33889,0.00021756,"[75, 65, 71, 68, 65, 74, 64, 64, 65, 65, 67, 67, 69, 74, 68, 69, 67, 67, 72, 65, 67, 75, 56, 3, 75, 66, 68, 65]","[0.64282, 0.721627, 0.0545548, 0.583711, 0.411235, 0.105044, 0.772698, 0.978236, 0.340366, 0.796345, 0.127038, 0.184717, 0.477075, 0.0171156, 0.59818, 0.0877158, 0.00225643, 0.58833, 0.750683, 0.812861, 0.763322, 0.673734, 0.112985, 0.612049, 0.82581, 0.879796, 0.123627, 0.922387]"
